step,type,amount,oldbalanceOrg,oldbalanceDest,isFraud,isFlaggedFraud
185,5,141191.42,9086.51,418709.98,0,0
212,5,2532.12,0.0,1297154.72,0,0
307,3,116036.63,25759.0,133741.3,0,0
380,4,1713.21,31891.0,0.0,0,0
259,4,3637.27,107184.0,0.0,0,0
14,5,242542.28,0.0,6746032.21,0,0
212,4,3658.61,0.0,0.0,0,0
396,5,70502.53,14946.0,0.0,0,0
259,4,1176.5,65801.73,0.0,0,0
179,5,37230.28,40358.0,0.0,0,0
332,4,8788.28,282.0,0.0,0,0
160,5,309297.67,14600.0,0.0,0,0
274,3,61400.76,6884.0,314553.45,0,0
282,4,3750.7,68882.0,0.0,0,0
350,3,110044.65,1357443.45,2274839.17,0,0
379,4,39260.03,0.0,0.0,0,0
328,5,467490.08,27855.32,2200884.65,0,0
179,3,37391.1,25056.0,1280002.75,0,0
398,3,231783.56,51312.0,1052097.45,0,0
24,4,8475.47,5020.0,0.0,0,0
401,2,939300.72,0.0,3356071.21,0,0
528,4,6047.23,160425.0,0.0,0,0
232,4,11266.98,39939.0,0.0,0,0
402,4,38828.45,145844.0,0.0,0,0
161,5,879649.48,0.0,1154586.5,0,0
240,4,36317.54,85842.74,0.0,0,0
476,3,304293.83,2118210.97,1157856.52,0,0
19,3,157771.49,20802.0,633667.95,0,0
282,4,18475.73,51687.0,0.0,0,0
355,4,655.82,37036.0,0.0,0,0
349,4,3494.61,0.0,0.0,0,0
260,5,84691.98,1752.0,511639.25,0,0
160,4,25178.08,132216.0,0.0,0,0
11,4,11054.62,0.0,0.0,0,0
159,4,667.34,30995.0,0.0,0,0
278,4,19816.29,0.0,0.0,0,0
37,2,285786.32,0.0,313105.72,0,0
232,4,1610.32,0.0,0.0,0,0
372,5,589.02,0.0,380272.31,0,0
306,3,21230.83,1963972.91,144285.97,0,0
156,4,2705.34,0.0,0.0,0,0
548,4,19222.57,0.0,0.0,0,0
254,3,290157.32,12183.0,3957490.19,0,0
43,3,89983.16,328551.97,2017719.9,0,0
22,3,34131.81,27817.0,0.0,0,0
276,3,154517.02,999412.36,1516468.69,0,0
14,3,15412.35,337.0,0.0,0,0
375,5,94379.07,21376.0,65737.37,0,0
16,5,63328.88,0.0,1801244.45,0,0
304,4,37525.41,211035.79,0.0,0,0
402,5,187466.32,0.0,201580.37,0,0
35,4,14883.57,21178.0,0.0,0,0
404,2,96535.19,101514.0,4239924.32,0,0
325,5,248262.78,31323.0,7867.97,0,0
407,3,195678.83,3792614.1,1006338.4,0,0
277,5,225909.6,4143.17,726063.0,0,0
375,5,114111.27,65509.0,381042.12,0,0
334,3,198887.55,7453814.02,737163.77,0,0
34,5,127234.17,0.0,1620510.41,0,0
260,4,4000.98,31139.0,0.0,0,0
179,5,377964.15,145.0,0.0,0,0
203,5,475114.65,5168.0,0.0,0,0
19,5,106025.2,152078.0,0.0,0,0
137,5,94472.05,64348.0,175961.65,0,0
395,5,379381.26,20559.0,1570243.59,0,0
348,3,125046.86,20423.0,128238.46,0,0
281,5,119066.02,0.0,1592548.35,0,0
11,3,61431.47,22018099.4,2382911.34,0,0
399,2,1728425.45,15060.0,2497369.19,0,0
347,3,78394.98,7923734.07,135305.69,0,0
382,5,175771.41,0.0,490740.55,0,0
17,5,278526.52,473471.71,1266835.88,0,0
249,5,32431.83,64095.0,1171189.93,0,0
307,3,30944.6,8292639.66,43151.28,0,0
205,5,85772.45,34246.0,1031884.64,0,0
399,4,45762.42,0.0,0.0,0,0
14,5,266944.94,0.0,1781258.19,0,0
131,4,6753.01,0.0,0.0,0,0
321,4,7404.32,0.0,0.0,0,0
187,5,159662.02,0.0,1133753.62,0,0
141,2,185350.4,85269.0,15494467.99,0,0
15,3,107542.08,4138809.33,585719.57,0,0
137,5,161506.95,41379.0,478186.2,0,0
540,5,427794.74,32832.0,2232545.87,0,0
284,4,24399.03,418.0,0.0,0,0
280,5,54488.26,802861.0,177412.49,0,0
